SAMPLE_NAME,Lakes,Date,Order,Group
S291.DIV4.Paradapt.1,SKUPD,28/10/2020,19,1
S292.DIV4.Paradapt.2,MIK,29/10/2020,19,2
S293.DIV4.Paradapt.3,PAT,29/10/2020,16,2
S294.DIV4.Paradapt.4,BUD,28/10/2020,20,1
S295.DIV4.Paradapt.5,GOP,28/10/2020,16,1
S296.DIV4.Paradapt.6,GOS,29/10/2020,18,2
S297.DIV4.Paradapt.7,LIC,29/10/2020,20,2
S298.DIV4.Paradapt.8,SLE,29/10/2020,17,2
S299.DIV4.Paradapt.9,SUS,28/10/2020,17,1
S300.DIV4.Paradapt.10,SKUPN,28/10/2020,18,1
S301.DIV4.Paradapt.11,LIC,30/01/2020,5,2
S302.DIV4.Paradapt.12,MIK,29/01/2020,4,2
S303.DIV4.Paradapt.13,GOS,29/01/2020,3,2
S304.DIV4.Paradapt.14,SLE,29/01/2020,2,2
S305.DIV4.Paradapt.15,BUD,30/01/2020,5,1
S306.DIV4.Paradapt.16,SLE,28/07/2020,12,2
S307.DIV4.Paradapt.17,PAT,28/07/2020,11,2
S308.DIV4.Paradapt.18,SKUPD,27/07/2020,14,1
S309.DIV4.Paradapt.19,SUS,29/07/2020,12,1
S310.DIV4.Paradapt.20,LIC,28/07/2020,15,2
S311.DIV4.Paradapt.21,MIK,28/07/2020,14,2
S312.DIV4.Paradapt.22,GOP,27/07/2020,11,1
S313.DIV4.Paradapt.23,SKUPN,27/07/2020,13,1
S314.DIV4.Paradapt.24,GOP,06/05/2020,6,1
S315.DIV4.Paradapt.25,SUS,06/05/2020,7,1
S316.DIV4.Paradapt.26,GOS,28/07/2020,13,2
S317.DIV4.Paradapt.27,GOS,06/05/2020,8,2
S318.DIV4.Paradapt.28,SKUPN,06/05/2020,8,1
S319.DIV4.Paradapt.29,MIK,06/05/2020,9,2
S320.DIV4.Paradapt.30,BUD,06/05/2020,10,1
S321.DIV4.Paradapt.31,SLE,06/05/2020,7,2
S322.DIV4.Paradapt.32,BUD,29/07/2020,15,1
S323.DIV4.Paradapt.33,LIC,06/05/2020,10,2
S324.DIV4.Paradapt.34,PAT,06/05/2020,6,2
S325.DIV4.Paradapt.35,SKUPD,06/05/2020,9,1
S326.DIV4.Paradapt.36,SKUPD,31/01/2020,4,1
S327.DIV4.Paradapt.37,SKUPN,30/01/2020,3,1
S328.DIV4.Paradapt.38,SUS,31/01/2020,2,1
S329.DIV4.Paradapt.39,PAT,30/01/2020,1,2
S330.DIV4.Paradapt.40,GOP,31/01/2020,1,1
